name,seasonality,location,time,price,size,creature
Miyama Stag,Jul-Aug,On trees,All day,1000,,bug
Giant Stag,Jul-Aug,On trees,11PM-8AM,10000,,bug
Rainbow Stag,June-Sept,On trees,7PM-8AM,6000,,bug
Cyclommatus Stag,Jul-Aug,On trees,5PM-8AM,8000,,bug
Golden Stag,Jul-Aug,On trees,5PM-8AM,12000,,bug
Giraffe Stag,Jul-Aug,On trees,5PM-8AM,12000,,bug
Horned Dynastid,Jul-Aug,On trees,5PM-8AM,1350,,bug
Horned Atlas,Jul-Aug,On trees,5PM-8AM,8000,,bug
Horned Elephant,Jul-Aug,On trees,5PM-8AM,8000,,bug
Horned Hercules,Jul-Aug,On trees,5PM-8AM,12000,,bug
Walking Stick,Jul-Nov,On trees,4AM-8AM and 5PM-7PM,600,,bug
Walking Leaf,Jul-Aug,"Near trees, disguised as furniture leaf",All day,600,,bug
Bagworm,All year,Falls from shaking trees,All day,600,,bug
Ant,All year,On rotten food,All day,80,,bug
Hermit Crab,All year,Beach,7PM-8AM,1000,,bug
Wharf Roach,All year,On rocks at beach,All day,200,,bug
Fly,All year,On trash items,All day,60,,bug
Mosquito,June-Sept,Flying,5PM-4AM,130,,bug
Flea,Apr-Nov,On villagers,All day,70,,bug
Snail,All year,On rocks (raining),All day,250,,bug
Pill Bug,Sept-June,Hit rocks,11PM-4PM,250,,bug
Centipede,Sept-June,Hit rocks,4PM-11PM,300,,bug
Spider,All year,Falls from shaking trees,7PM-8AM,480,,bug
Tarantula,Nov-Apr,On ground,7PM-4AM,8000,,bug
Scorpion,May-Oct,On ground,7PM-4AM,8000,,bug
